1677119975.4376438	1677119978.6463342	0
1677119981.6494038	1677119985.2255611	1
1677119988.2286346	1677119992.3016925	2
1677119995.304767	1677119998.9790301	3
1677120001.9821029	1677120005.7136514	4
1677120008.7167318	1677120012.6806643	5
1677120015.6812131	1677120020.3154292	6
1677120023.3185163	1677120026.5861356	7
1677120029.5892286	1677120033.3116832	8
1677120036.3147616	1677120047.6629207	9
1677120050.665993	1677120054.7725484	10
1677120057.775629	1677120062.2066514	11
1677120065.2097213	1677120068.9839077	12
1677120071.986984	1677120076.0976572	13
1677120079.1007318	1677120084.018993	14
1677120087.0220683	1677120090.7506857	15
1677120093.7537646	1677120096.938658	16
1677120099.9412155	1677120103.223377	17
1677120106.2264533	1677120124.6681204	18
1677120127.6705008	1677120131.507314	19
1677120134.5103958	1677120139.2901757	20
1677120142.2932465	1677120161.8579829	21
1677120164.8610542	1677120168.7973073	22
1677120171.8003812	1677120175.6471174	23
1677120178.6501882	1677120183.280968	24
1677120186.2840304	1677120189.9717095	25
1677120192.9747894	1677120197.1643238	26
1677120200.167403	1677120204.4604316	27
1677120207.4635105	1677120211.7654428	28
1677120214.7685149	1677120220.390987	29
1677120223.3940575	1677120226.887179	30
1677120229.890244	1677120234.5808868	31
1677120237.5839603	1677120241.3763838	32
1677120244.3794525	1677120251.0977447	33
1677120254.1008124	1677120260.0624785	34
1677120263.0655437	1677120266.3354037	35
1677120269.3384824	1677120273.9162245	36
1677120276.9193068	1677120281.3314753	37
1677120284.3345468	1677120288.8435884	38
1677120291.846662	1677120295.380299	39
1677120298.383376	1677120302.1472642	40
1677120305.150342	1677120308.946461	41
1677120311.9495301	1677120315.7316468	42
1677120318.734715	1677120329.5368276	43
1677120332.5399046	1677120337.292344	44
1677120340.2954216	1677120344.1931682	45
1677120347.1962583	1677120352.5777807	46
1677120355.5808597	1677120359.800574	47
1677120362.8036416	1677120367.1682382	48
1677120370.1713061	1677120373.6742013	49
1677120376.6772745	1677120380.3672736	50
1677120383.3703442	1677120387.2957292	51
1677120390.2988076	1677120406.6061184	52
1677120409.6092064	1677120413.750481	53
1677120416.7535527	1677120428.7331514	54
1677120431.7362325	1677120435.301644	55
1677120438.3047178	1677120442.0809057	56
1677120445.0839643	1677120448.5798013	57
1677120451.582881	1677120454.9236612	58
1677120457.9267266	1677120461.5060823	59
1677120464.5091567	1677120468.4607096	60
1677120471.463788	1677120475.5892124	61
1677120478.5922809	1677120482.9719007	62
1677120485.9749744	1677120489.7207856	63
1677120492.7238514	1677120496.926954	64
1677120499.9300199	1677120504.0769885	65
1677120507.0800698	1677120510.300225	66
1677120513.3032963	1677120521.6165802	67
1677120524.619658	1677120528.2558737	68
1677120531.2589438	1677120535.2852485	69
1677120538.2883222	1677120542.4819336	70
1677120545.4850023	1677120549.6721072	71
1677120552.6732154	1677120556.1699336	72
1677120559.1730058	1677120562.817748	73
1677120565.8208237	1677120569.8204818	74
1677120572.8235486	1677120576.7971113	75
1677120579.800177	1677120583.003094	76
1677120586.0061677	1677120590.0727384	77
1677120593.0757992	1677120600.4082522	78
1677120603.4113245	1677120607.2784653	79
1677120610.2815397	1677120614.5054064	80
1677120617.508476	1677120621.414098	81
1677120624.4171689	1677120629.071272	82
1677120632.0743423	1677120635.7779632	83
1677120638.781042	1677120642.3045044	84
1677120645.3075776	1677120648.8784997	85
1677120651.8812041	1677120664.526847	86
1677120667.529213	1677120671.5763156	87
1677120674.5793812	1677120678.5001748	88
1677120681.5012116	1677120692.9164975	89
1677120695.919567	1677120699.70375	90
1677120702.7068224	1677120706.5304801	91
1677120709.5335467	1677120713.8236659	92
1677120716.8267403	1677120721.5230448	93
1677120724.5261118	1677120733.6680613	94
1677120736.671129	1677120740.2259092	95
1677120743.2289798	1677120747.327413	96
1677120750.330492	1677120769.668337	97
1677120772.671396	1677120776.9693797	98
1677120779.9724538	1677120783.4565885	99
1677120786.4596565	1677120790.6039045	100
1677120793.6069741	1677120805.8986993	101
1677120808.9017746	1677120812.9646351	102
1677120815.9677062	1677120819.382675	103
1677120822.3857412	1677120826.3174217	104
1677120829.3204865	1677120833.2941437	105
1677120836.2972057	1677120840.1403255	106
1677120843.1434023	1677120846.6885343	107
1677120849.6915953	1677120853.6494884	108
1677120856.6525574	1677120864.996563	109
1677120867.9996426	1677120871.4689534	110
1677120874.4720237	1677120878.2429793	111
1677120881.2460463	1677120885.0819762	112
1677120888.0850437	1677120891.9679434	113
1677120894.9710152	1677120898.7901893	114
1677120901.7932541	1677120905.6297784	115
1677120908.6328485	1677120912.4585714	116
1677120915.4616401	1677120919.9095852	117
1677120922.9126532	1677120926.7576559	118
1677120929.7607324	1677120933.2484062	119
1677120936.2514849	1677120940.783729	120
1677120943.7868052	1677120948.9919841	121
1677120951.9950645	1677120955.7850873	122
1677120958.7881703	1677120962.9186304	123
1677120965.9216952	1677120969.3867555	124
1677120972.3898184	1677120976.2753403	125
1677120979.2784164	1677120983.1354272	126
1677120986.1385021	1677120990.1035717	127
1677120993.10664	1677120997.0952134	128
1677121000.098288	1677121004.9106314	129
1677121007.9136972	1677121012.6056488	130
1677121015.6087177	1677121019.3868124	131
1677121022.3898764	1677121026.4393396	132
1677121029.4424126	1677121033.3255525	133
1677121036.328622	1677121061.9962463	134
1677121064.9993277	1677121070.3516805	135
1677121073.3547504	1677121076.6126566	136
1677121079.6157289	1677121083.1091328	137
1677121086.1122034	1677121090.0414903	138
